report_id,timestamp,location,category,reported_severity,description,reporter_type
R031,2026-09-16T10:39,Cafeteria east entrance,environmental,MEDIUM,Glass has spread into the accessible entrance path.,student
R032,2026-09-16T10:43,Parking Area P2,electrical,HIGH,A cable cabinet is making a buzzing sound.,system_sensor
R033,2026-09-16T10:39,Library Level 2,facilities,HIGH,A witness says it may only be a spilled cleaning bucket.,system_sensor
R034,2026-09-16T10:43,Engineering Block E3,fire,CRITICAL,One witness says the smoke may be dust from maintenance.,lecturer
R035,2026-09-16T10:47,Campus-wide,it,HIGH,One user says mobile data works and believes the issue is local.,security
R036,2026-09-16T10:51,Sports Centre Court 1,medical,CRITICAL,"A bystander thinks it is only dehydration, but this is unconfirmed.",student
R037,2026-09-16T10:55,Administration Block Lift A,accessibility,HIGH,"Another caller says the doors are open on level one, which conflicts with the trapped-person report.",system_sensor
R038,2026-09-16T10:59,Science Block loading bay,security,MEDIUM,A staff member says maintenance work may have been scheduled today.,lecturer
R039,2026-09-16T11:03,Cafeteria east entrance,environmental,MEDIUM,One caller says the main doorway is still passable.,student
R040,2026-09-16T11:07,Parking Area P2,electrical,HIGH,One report says lights briefly returned before failing again.,staff
R041,2026-09-16T11:03,Library Level 2,facilities,HIGH,Duplicate report: water beside the level two printers.,security
R042,2026-09-16T11:07,Engineering Block E3,fire,CRITICAL,Duplicate report: smoke in the E3 lab.,student
R043,2026-09-16T11:11,Campus-wide,it,HIGH,Duplicate report: learning platform unavailable in the library.,staff
R044,2026-09-16T11:15,Sports Centre Court 1,medical,CRITICAL,Duplicate report: student collapsed on court one.,lecturer
R045,2026-09-16T11:19,Administration Block Lift A,accessibility,HIGH,Duplicate report: Lift A is out of service.,system_sensor
R046,2026-09-16T11:23,Science Block loading bay,security,MEDIUM,Duplicate report: unknown contractor at the science loading bay.,lecturer
R047,2026-09-16T11:27,Cafeteria east entrance,environmental,MEDIUM,Duplicate report: broken bottle at the cafeteria east door.,lecturer
R048,2026-09-16T11:31,Parking Area P2,electrical,HIGH,Duplicate report: P2 lights are out.,lecturer
R049,2026-09-16T11:27,Library Level 2,facilities,HIGH,Facilities have isolated the pipe and cordoned the area.,security
R050,2026-09-16T11:31,Engineering Block E3,fire,CRITICAL,Security confirms the room has been evacuated.,system_sensor
R051,2026-09-16T11:35,Campus-wide,it,HIGH,ICT identifies a core switch problem.,system_sensor
R052,2026-09-16T11:39,Sports Centre Court 1,medical,CRITICAL,Campus first aid requests external emergency medical support.,staff
R053,2026-09-16T11:43,Administration Block Lift A,accessibility,HIGH,Security confirms two occupants are communicating through the intercom.,security
R054,2026-09-16T11:47,Science Block loading bay,security,MEDIUM,Security approaches the person for identification.,staff
R055,2026-09-16T11:51,Cafeteria east entrance,environmental,MEDIUM,Security places a temporary barrier around the area.,security
R056,2026-09-16T11:55,Parking Area P2,electrical,HIGH,Security increases patrols and redirects pedestrians.,security
R057,2026-09-16T11:51,Library Level 2,facilities,HIGH,The flow has stopped but the carpet remains wet.,security
R058,2026-09-16T11:55,Engineering Block E3,fire,CRITICAL,Fire response has isolated the room and electrical supply.,system_sensor
R059,2026-09-16T11:59,Campus-wide,it,HIGH,Authentication and Wi-Fi remain unstable campus-wide.,staff
R060,2026-09-16T12:03,Sports Centre Court 1,medical,CRITICAL,The student is responsive and being monitored.,student
R061,2026-09-16T12:07,Administration Block Lift A,accessibility,HIGH,Lift technicians and emergency support are on scene.,lecturer
R062,2026-09-16T12:11,Science Block loading bay,security,MEDIUM,"The person presents a contractor card, but the work order is not yet confirmed.",system_sensor
R063,2026-09-16T12:15,Cafeteria east entrance,environmental,MEDIUM,Cleaning staff begin removing the glass.,system_sensor
R064,2026-09-16T12:19,Parking Area P2,electrical,HIGH,Electrical staff isolate the affected circuit.,student
R065,2026-09-16T12:15,Library Level 2,facilities,MEDIUM,Cleaning staff are extracting water from the carpet.,staff
R066,2026-09-16T12:19,Engineering Block E3,fire,HIGH,"No flames are visible, but the panel remains hot.",lecturer
R067,2026-09-16T12:23,Campus-wide,it,MEDIUM,A temporary route restores some services.,security
R068,2026-09-16T12:27,Sports Centre Court 1,medical,HIGH,Paramedics have arrived at the sports centre.,student
R069,2026-09-16T12:31,Administration Block Lift A,accessibility,MEDIUM,The occupants have been released safely.,staff
R070,2026-09-16T12:35,Science Block loading bay,security,MEDIUM,Facilities finds a matching electrical maintenance request.,student
R071,2026-09-16T12:39,Cafeteria east entrance,environmental,MEDIUM,The accessible path is temporarily redirected.,lecturer
R072,2026-09-16T12:43,Parking Area P2,electrical,MEDIUM,The buzzing stops after isolation.,staff
R073,2026-09-16T12:39,Library Level 2,facilities,MEDIUM,No additional water has appeared for twenty minutes.,system_sensor
R074,2026-09-16T12:43,Engineering Block E3,fire,HIGH,An electrician reports a failed distribution component.,student
R075,2026-09-16T12:47,Campus-wide,it,MEDIUM,"Most users can connect, but residence access is still degraded.",student
R076,2026-09-16T12:51,Sports Centre Court 1,medical,HIGH,The student is being transferred for medical assessment.,staff
R077,2026-09-16T12:55,Administration Block Lift A,accessibility,MEDIUM,The lift remains unavailable and an assisted alternative route is active.,lecturer
R078,2026-09-16T12:59,Science Block loading bay,security,MEDIUM,The contractor identity and work order are verified.,student
R079,2026-09-16T13:03,Cafeteria east entrance,environmental,MEDIUM,Most glass has been removed.,staff
R080,2026-09-16T13:07,Parking Area P2,electrical,MEDIUM,Temporary lighting is installed.,staff
R081,2026-09-16T13:03,Library Level 2,facilities,MEDIUM,Facilities confirm a failed pipe joint caused the leak.,lecturer
R082,2026-09-16T13:07,Engineering Block E3,fire,HIGH,The panel temperature is falling.,lecturer
R083,2026-09-16T13:11,Campus-wide,it,MEDIUM,ICT replaces the failed switch module.,system_sensor
R084,2026-09-16T13:15,Sports Centre Court 1,medical,HIGH,The court is clear and there is no wider hazard.,student
R085,2026-09-16T13:19,Administration Block Lift A,accessibility,MEDIUM,Accessibility support has contacted affected students.,student
R086,2026-09-16T13:23,Science Block loading bay,security,MEDIUM,Security records the access and reminds the contractor to display identification.,system_sensor
R087,2026-09-16T13:27,Cafeteria east entrance,environmental,MEDIUM,Staff inspect the surrounding paving.,student
R088,2026-09-16T13:31,Parking Area P2,electrical,MEDIUM,A damaged contactor is identified.,staff
R089,2026-09-16T13:27,Library Level 2,facilities,MEDIUM,The electrical extension has been removed and inspected.,lecturer
R090,2026-09-16T13:31,Engineering Block E3,fire,HIGH,Fire response declares the immediate danger controlled.,system_sensor
R091,2026-09-16T13:35,Campus-wide,it,MEDIUM,Monitoring shows normal traffic in academic buildings.,security
R092,2026-09-16T13:39,Sports Centre Court 1,medical,HIGH,The coach confirms the student's belongings are secured.,security
R093,2026-09-16T13:43,Administration Block Lift A,accessibility,MEDIUM,Technicians identify a door sensor fault.,staff
R094,2026-09-16T13:47,Science Block loading bay,security,MEDIUM,No forced entry or threatening behaviour is found.,student
R095,2026-09-16T13:51,Cafeteria east entrance,environmental,MEDIUM,A small shard is found under a bench.,system_sensor
R096,2026-09-16T13:55,Parking Area P2,electrical,MEDIUM,The contactor is replaced and power restored.,system_sensor
R097,2026-09-16T13:51,Library Level 2,facilities,LOW,The affected shelves are dry and accessible.,system_sensor
R098,2026-09-16T13:55,Engineering Block E3,fire,LOW,Electrical maintenance begins repairs.,staff
R099,2026-09-16T13:59,Campus-wide,it,LOW,Residence connectivity is restored.,system_sensor
R100,2026-09-16T14:03,Sports Centre Court 1,medical,LOW,Emergency responders have departed with the student.,student
R101,2026-09-16T14:07,Administration Block Lift A,accessibility,LOW,Repairs are complete and the lift is under test.,staff
R102,2026-09-16T14:11,Science Block loading bay,security,LOW,The contractor completes the scheduled inspection.,lecturer
R103,2026-09-16T14:15,Cafeteria east entrance,environmental,LOW,Final sweep is completed.,lecturer
R104,2026-09-16T14:19,Parking Area P2,electrical,LOW,Lighting remains stable during testing.,system_sensor
R105,2026-09-16T14:15,Library Level 2,facilities,LOW,Area reopened after inspection.,lecturer
R106,2026-09-16T14:19,Engineering Block E3,fire,LOW,The room remains closed pending inspection.,student
R107,2026-09-16T14:23,Campus-wide,it,LOW,No new failures reported for thirty minutes.,security
R108,2026-09-16T14:27,Sports Centre Court 1,medical,LOW,No further assistance is required on site.,staff
R109,2026-09-16T14:31,Administration Block Lift A,accessibility,LOW,Lift passes the safety test.,lecturer
R110,2026-09-16T14:35,Science Block loading bay,security,LOW,The service corridor is secured.,system_sensor
R111,2026-09-16T14:39,Cafeteria east entrance,environmental,LOW,The entrance reopens.,student
R112,2026-09-16T14:43,Parking Area P2,electrical,LOW,Security removes the temporary diversion.,lecturer
R113,2026-09-16T14:39,Library Level 2,facilities,LOW,Resolved: no remaining water or electrical hazard.,system_sensor
R114,2026-09-16T14:43,Engineering Block E3,fire,LOW,Resolved: room inspected and reopened with power restored.,security
R115,2026-09-16T14:47,Campus-wide,it,LOW,Resolved: campus network services are stable.,security
R116,2026-09-16T14:51,Sports Centre Court 1,medical,LOW,Controlled: medical handover completed; no autonomous diagnosis recorded.,system_sensor
R117,2026-09-16T14:55,Administration Block Lift A,accessibility,LOW,Resolved: Lift A returned to service and access support stood down.,security
R118,2026-09-16T14:59,Science Block loading bay,security,LOW,Resolved: authorised contractor verified; no accusation or punitive action required.,lecturer
R119,2026-09-16T15:03,Cafeteria east entrance,environmental,LOW,Resolved: glass removed and accessible route restored.,security
R120,2026-09-16T15:07,Parking Area P2,electrical,LOW,Resolved: P2 lighting and kiosk power restored.,lecturer
R121,2026-09-16T15:03,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,lecturer
R122,2026-09-16T15:06,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,lecturer
R123,2026-09-16T15:09,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,lecturer
R124,2026-09-16T15:12,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,staff
R125,2026-09-16T15:15,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,student
R126,2026-09-16T15:18,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,student
R127,2026-09-16T15:21,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,student
R128,2026-09-16T15:24,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,staff
R129,2026-09-16T15:27,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,lecturer
R130,2026-09-16T15:30,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,lecturer
R131,2026-09-16T15:33,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,student
R132,2026-09-16T15:36,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,student
R133,2026-09-16T15:39,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,student
R134,2026-09-16T15:42,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,student
R135,2026-09-16T15:45,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,student
R136,2026-09-16T15:48,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,staff
R137,2026-09-16T15:51,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,lecturer
R138,2026-09-16T15:54,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,student
R139,2026-09-16T15:57,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,lecturer
R140,2026-09-16T16:00,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,staff
R141,2026-09-16T16:03,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,staff
R142,2026-09-16T16:06,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,student
R143,2026-09-16T16:09,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,lecturer
R144,2026-09-16T16:12,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,staff
R145,2026-09-16T16:15,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,staff
R146,2026-09-16T16:18,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,staff
R147,2026-09-16T16:21,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,lecturer
R148,2026-09-16T16:24,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,staff
R149,2026-09-16T16:27,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,student
R150,2026-09-16T16:30,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,lecturer
